Alt_ID,CarModel,Description,ID,Info,Manufacturer,Prod_Cat,Sub_Cat,price
"DE9Z2078A, DE9Z2078C, DE9Z2078E, DG1Z2078A, DG1Z2078D, DG1Z2078F",ford 2018 flex 3.5l+v6+turbocharged,Element3,BH384135,Front Right,RAYBESTOS,brake+&+wheel+hub,hydraulic hose,$15.32
,ford 2018 flex 3.5l+v6+turbocharged,Z23 Evolution Sport Brake Upgrade Kit ;,K5584," Click Info for full list of components.,Front and Rear; Standard Brakes; 325mm Front Rotors",POWER STOP,brake+&+wheel+hub,rotor & brake pad kit,$316.79
,ford 2018 flex 3.5l+v6+turbocharged,Z23 Evolution Sport Brake Upgrade Kit ;,K7573," Click Info for full list of components.,Front and Rear; Heavy Duty Brakes; 352mm Front Rotors",POWER STOP,brake+&+wheel+hub,rotor & brake pad kit,$373.79
,ford 2018 flex 3.5l+v6+turbocharged,Z36 Truck & Tow Performance Kit ;,K474436," Click Info for full list of components.,Rear; Standard Brakes; 325mm Front Rotors",POWER STOP,brake+&+wheel+hub,rotor & brake pad kit,$172.79
,ford 2018 flex 3.5l+v6+turbocharged,Z36 Truck & Tow Performance Kit ;,K558336," Click Info for full list of components.,Front; Standard Brakes; 325mm Front Rotors",POWER STOP,brake+&+wheel+hub,rotor & brake pad kit,$174.79
,ford 2018 flex 3.5l+v6+turbocharged,,15061125,Front Right,CENTRIC,brake+&+wheel+hub,hydraulic hose,$16.53
,ford 2018 flex 3.5l+v6+turbocharged,,15061124,Front Left,CENTRIC,brake+&+wheel+hub,hydraulic hose,$16.57
{#DG1Z2078E},ford 2018 flex 3.5l+v6+turbocharged,,BRHF129,Front Left,MOTORCRAFT,brake+&+wheel+hub,hydraulic hose,$24.79
,ford 2018 flex 3.5l+v6+turbocharged,Z36 Truck & Tow Performance Kit ;,K772436," Click Info for full list of components.,Rear; Heavy Duty Brakes; 352mm Front Rotors",POWER STOP,brake+&+wheel+hub,rotor & brake pad kit,$174.79
,ford 2018 flex 3.5l+v6+turbocharged,Z36 Truck & Tow Performance Kit ;,K637436," Click Info for full list of components.,Front; Heavy Duty Brakes; 352mm Front Rotors",POWER STOP,brake+&+wheel+hub,rotor & brake pad kit,$231.79
,ford 2018 flex 3.5l+v6+turbocharged,Z36 Truck & Tow Performance Kit ;,K558436," Click Info for full list of components.,Front and Rear; Standard Brakes; 325mm Front Rotors",POWER STOP,brake+&+wheel+hub,rotor & brake pad kit,$346.89
"8A8Z2B292A, 8A8Z2B293A, AG1Z2B292A, AG1Z2B292B, AG1Z2B292C, AG1Z2B293A, AG1Z2B293B, AG1Z2B293C, BB5Z2B292D, BB5Z2B293D, BB5ZZ2B292D, BB5ZZ2B293D, BG1Z2B292A, BG1Z2B293A",ford 2018 flex 3.5l+v6+turbocharged,Remanufactured,141074,"Fits,Front Left; Except Heavy Duty Brakes,or,Front Right; Except Heavy Duty Brakes",CARDONE,brake+&+wheel+hub,caliper bracket,$18.44
{#DG1Z2078F},ford 2018 flex 3.5l+v6+turbocharged,,BRHF64,Front Right,MOTORCRAFT,brake+&+wheel+hub,hydraulic hose,$24.79
{#19385247},ford 2018 flex 3.5l+v6+turbocharged,Professional,18J382852,Rear,ACDELCO,brake+&+wheel+hub,hydraulic hose,$10.42
{#19425517},ford 2018 flex 3.5l+v6+turbocharged,Professional,18J384133,Front Left,ACDELCO,brake+&+wheel+hub,hydraulic hose,$14.68
{#19425519},ford 2018 flex 3.5l+v6+turbocharged,Professional,18J384135,Front Right,ACDELCO,brake+&+wheel+hub,hydraulic hose,$17.87
,ford 2018 flex 3.5l+v6+turbocharged,Z36 Truck & Tow Performance Kit ;,K757336," Click Info for full list of components.,Front and Rear; Heavy Duty Brakes; 352mm Front Rotors",POWER STOP,brake+&+wheel+hub,rotor & brake pad kit,$405.89
"{#BRBCR15, BRBCR31, FG1Z2B511A}",ford 2018 flex 3.5l+v6+turbocharged,OE Design,BRBCR38,Rear; w/ Heavy Duty Calipers,MOTORCRAFT,brake+&+wheel+hub,caliper bracket,$58.79
{#CT4Z2B511A},ford 2018 flex 3.5l+v6+turbocharged,,BRBCR14,Rear; w/ Standard Duty Calipers,MOTORCRAFT,brake+&+wheel+hub,caliper bracket,$63.79
"{#BRBCF15, GB5Z2B292A}",ford 2018 flex 3.5l+v6+turbocharged,,BRBC28,Front Left; w/ Heavy Duty Calipers,MOTORCRAFT,brake+&+wheel+hub,caliper bracket,$85.79
"{#BRBCF15, GB5Z2B292B}",ford 2018 flex 3.5l+v6+turbocharged,,BRBC29,Front Right; w/ Heavy Duty Calipers,MOTORCRAFT,brake+&+wheel+hub,caliper bracket,$88.79
{#8A8Z2A442B},ford 2018 flex 3.5l+v6+turbocharged,Washers Not Included,BH145278,Rear,WAGNER,brake+&+wheel+hub,hydraulic hose,$11.86
"8A5Z2078C, AA8Z2079A, DG1Z2078E, DG1Z2079A",ford 2018 flex 3.5l+v6+turbocharged,Washers Not Included,BH144084,Front Left,WAGNER,brake+&+wheel+hub,hydraulic hose,$15.75
"8A5Z2078B, AA8Z2078A, DG1Z2078D, DG1Z2078F",ford 2018 flex 3.5l+v6+turbocharged,Washers Not Included,BH144085,Front Right,WAGNER,brake+&+wheel+hub,hydraulic hose,$15.75
"14093311, 20732399, 332364, 3691590, 389258, 389358, 4004569, 6031321, 6505411AA, 700368, 963056, 963056D, J4004569, W701259S300",ford 2018 flex 3.5l+v6+turbocharged,Fender Molding Retainer,45490,Liftgate,DORMAN,body,weatherstrip retainer / clip,$0.12
{#DG1Z2208A},ford 2018 flex 3.5l+v6+turbocharged,OE Design,BKBF7,"Fits,Rear; w/ Heavy Duty Calipers,or,Front; w/ Heavy Duty Calipers",MOTORCRAFT,brake+&+wheel+hub,brake bleeder,$3.15
{#BT4Z2208A},ford 2018 flex 3.5l+v6+turbocharged,OE Design,BKBOE32,Rear; w/ Standard Duty Calipers,MOTORCRAFT,brake+&+wheel+hub,brake bleeder,$3.35
{#6L2Z2208A},ford 2018 flex 3.5l+v6+turbocharged,OE Design,BKBOE17,Front; w/ Standard Duty Calipers,MOTORCRAFT,brake+&+wheel+hub,brake bleeder,$3.70
,ford 2018 flex 3.5l+v6+turbocharged,,H9410,"Fits,Front; w/Heavy Duty Brakes,or,Front; w/Standard Duty Brakes",CARLSON,brake+&+wheel+hub,brake bleeder,
,ford 2018 flex 3.5l+v6+turbocharged,,H9407,"Fits,Rear; w/Heavy Duty Brakes,or,Rear; w/STANDARD DUTY BRAKES",CARLSON,brake+&+wheel+hub,brake bleeder,
"14093311, 20732399, 332364, 3691590, 389258, 389358, 4004569, 6031321, 6505411AA, 700368, 963056, 963056D, J4004569, W701259S300",ford 2018 flex 3.5l+v6+turbocharged,Fender Molding Retainer,45490,Rear Wheelhouse,DORMAN,body,splash shield retainer / clip,$0.12
"{#11589293, 961362D, W712196S300}",ford 2018 flex 3.5l+v6+turbocharged,Fender Molding Retainer,961362,Front Fender; 8.5 mm,DORMAN,body,splash shield retainer / clip,$0.95
{#3F1Z13B375AA},ford 2018 flex 3.5l+v6+turbocharged,OE FIX,926107,"Fits,Left,or,Right",DORMAN,body,puddle lamp,
{#6U5Z17D696C},ford 2018 flex 3.5l+v6+turbocharged,,924400,"Fits,Left; w/o Memory,or,Right; w/o Memory",DORMAN,body,outside mirror drive motor,$35.79
{#FL3Z1540602AA},ford 2018 flex 3.5l+v6+turbocharged,OE New,FO1904139,w/Flex Step; Inner; Tail Gate,VARIOUS MFR,body,tailgate seal,$30.79
{#HC3Z9941018AC},ford 2018 flex 3.5l+v6+turbocharged,OE New,FO1904140,w/Flex Step; Outer; Tail Gate,VARIOUS MFR,body,tailgate seal,$99.79
{#HC3Z1540602AA},ford 2018 flex 3.5l+v6+turbocharged,,FO1904141,w/Flex Step; Inner; Tail Gate,VARIOUS MFR,body,tailgate seal,
,ford 2018 flex 3.5l+v6+turbocharged,,FO1904138,w/Flex Step; Outer; Tail Gate,VARIOUS MFR,body,tailgate seal,
"DA8Z19G490A, DA8Z19G490C, EA8Z19G490A, GA8Z19G490A",ford 2018 flex 3.5l+v6+turbocharged,,592006,Rear,DORMAN,body,park assist (pas) camera,$151.79
,ford 2018 flex 3.5l+v6+turbocharged,,FO1960127,Rear,VARIOUS MFR,body,park assist (pas) camera,
"{#8A8Z17D743BAPTM, DA8Z17683CA}",ford 2018 flex 3.5l+v6+turbocharged,Customer Paints to Match,FO1320622,Left; Power; Heated; w/o Signal Lamp; w/ Puddle Lamp; w/ Cover,VARIOUS MFR,body,outside mirror & glass assembly,
"{#8A8Z17D742BAPTM, DA8Z17682CA}",ford 2018 flex 3.5l+v6+turbocharged,Customer Paints to Match,FO1321622,Right; Power; Heated; w/o Signal Lamp; w/ Puddle Lamp; w/ Cover,VARIOUS MFR,body,outside mirror & glass assembly,
"AE9Z2C190A, AE9Z2C190B, AE9Z2C190C, AR9Z2C190B, SU13742",ford 2018 flex 3.5l+v6+turbocharged,,5S12324,Rear,WVE,brake+&+wheel+hub,abs wheel speed sensor,$10.60
"{#AE9Z2C190A, AE9Z2C190B}",ford 2018 flex 3.5l+v6+turbocharged,,ALS2598,"Fits,Rear Right,Or,Rear Left",STANDARD MOTOR PRODUCTS,brake+&+wheel+hub,abs wheel speed sensor,$12.67
"AE9Z2C190A, AE9Z2C190B, AE9Z2C190C, AR9Z2C190B",ford 2018 flex 3.5l+v6+turbocharged,,AB0916,Rear,NTK,brake+&+wheel+hub,abs wheel speed sensor,$13.55
"{#DA8Z2C204A, DA8Z2C204B, DA8Z2C204C}",ford 2018 flex 3.5l+v6+turbocharged,Includes Harness,2ABS2860,"Fits,Front Left,Or,Front Right",HOLSTEIN,brake+&+wheel+hub,abs wheel speed sensor,$15.11
"{#DA8Z2C204A, DA8Z2C204B, DA8Z2C204C}",ford 2018 flex 3.5l+v6+turbocharged,,ALS2592,"Fits,Front Left,Or,Front Right",STANDARD MOTOR PRODUCTS,brake+&+wheel+hub,abs wheel speed sensor,$15.70
{#AE9Z2C190B},ford 2018 flex 3.5l+v6+turbocharged,,BRAB404,Rear,MOTORCRAFT,brake+&+wheel+hub,abs wheel speed sensor,$21.79
{#DA8Z2C204C},ford 2018 flex 3.5l+v6+turbocharged,,BRAB400,Front,MOTORCRAFT,brake+&+wheel+hub,abs wheel speed sensor,$30.79
{#CA8Z13405B},ford 2018 flex 3.5l+v6+turbocharged,CAPA Certified,FO2800253,Left; Limited,VARIOUS MFR,body,tail lamp assembly,$304.79
{#CA8Z13404B},ford 2018 flex 3.5l+v6+turbocharged,CAPA Certified,FO2801253,Right; Limited,VARIOUS MFR,body,tail lamp assembly,$304.79
"{#8T5Z13550A, 8T5Z13550B}",ford 2018 flex 3.5l+v6+turbocharged,OE New,FO2870100,,VARIOUS MFR,body,license plate lamp assembly,$14.41
,ford 2018 flex 3.5l+v6+turbocharged,,6553,Hood,STRONGARM,body,lift support,$12.28
,ford 2018 flex 3.5l+v6+turbocharged,,SG204067,Hatch,SACHS,body,lift support,$16.07
,ford 2018 flex 3.5l+v6+turbocharged,,SG204068,Hood,SACHS,body,lift support,$16.07
"8A8Z74406A10B, 8A8Z74406A11B, DA8Z74406A10A, DA8Z74406A11A",ford 2018 flex 3.5l+v6+turbocharged,Max-Lift,901886,Liftgate,MONROE,body,lift support,$16.59
,ford 2018 flex 3.5l+v6+turbocharged,,6553,Hood,AMS AUTOMOTIVE,body,lift support,$12.91
,ford 2018 flex 3.5l+v6+turbocharged,Ceramic,BP1377C,Rear,DURAGO,brake+&+wheel+hub,brake pad,$13.61
,ford 2018 flex 3.5l+v6+turbocharged,Stop Ceramic; Hardware Included,SBC1754,Rear,BENDIX,brake+&+wheel+hub,brake pad,$16.00
"8A8Z2200A, AA8Z2200A, AG1Z2200A, BT4Z2200A, CT4Z2200A, DG1Z2200E, EG1Z2200A, EG1Z2200B, EG1Z2200C, FB5Z2200A, FB5Z2200C, fg1z2200a",ford 2018 flex 3.5l+v6+turbocharged,R-Line; Ceramic,MGD1377CH,Rear,RAYBESTOS,brake+&+wheel+hub,brake pad,$17.03
,ford 2018 flex 3.5l+v6+turbocharged,Bosch Blue w/ Hardware,BE1377H,Rear,BOSCH,brake+&+wheel+hub,brake pad,$18.41
{#8T5Z13550A},ford 2018 flex 3.5l+v6+turbocharged,,68180,,DORMAN,body,license plate lamp lens,$17.48
"{#BB5Z2001A, BB5Z2001B, EB5Z2001A}",ford 2018 flex 3.5l+v6+turbocharged,R-Line; Ceramic,MGD1508CH,Front; Standard Brakes,RAYBESTOS,brake+&+wheel+hub,brake pad,$19.04
{#FB5Z2200C},ford 2018 flex 3.5l+v6+turbocharged,QuickStop; Includes Installation Hardware; Ceramic,ZD1754,Rear; Except Heavy Duty Brakes,WAGNER,brake+&+wheel+hub,brake pad,$20.79
{#19387599},ford 2018 flex 3.5l+v6+turbocharged,Advantage; Ceramic; w/Hardware,14D1377CHF1,Rear; Revised F1 Part Design,ACDELCO,brake+&+wheel+hub,brake pad,$21.79
,ford 2018 flex 3.5l+v6+turbocharged,C-TEK; Metallic,10215080,Front; 325mm Front Disc; Standard Brakes,CENTRIC,brake+&+wheel+hub,brake pad,$21.89
,ford 2018 flex 3.5l+v6+turbocharged,Ceramic,BP1508C,Front; Except Heavy Duty Brakes,DURAGO,brake+&+wheel+hub,brake pad,$21.89
,ford 2018 flex 3.5l+v6+turbocharged,Stop Ceramic; Hardware Included,SBC1508,Front; w/ Standard Duty Brakes,BENDIX,brake+&+wheel+hub,brake pad,$23.79
,ford 2018 flex 3.5l+v6+turbocharged,Ceramic,BP1611C,Front; Heavy Duty Brakes,DURAGO,brake+&+wheel+hub,brake pad,$23.79
"{#DG1Z2200B, DG1Z2200C}",ford 2018 flex 3.5l+v6+turbocharged,QuickStop; Semi-Metallic; Includes Installation Hardware,ZX1612,"Fits,Rear; OE Semi-Metallic,or,Rear; With Heavy Duty Brakes",WAGNER,brake+&+wheel+hub,brake pad,$23.79
,ford 2018 flex 3.5l+v6+turbocharged,C-TEK; Ceramic,10315080,Front; 325mm Front Disc; Standard Brakes,CENTRIC,brake+&+wheel+hub,brake pad,$24.79
"{#DG1Z2200B, DG1Z2200C}",ford 2018 flex 3.5l+v6+turbocharged,QuickStop; Ceramic; Includes Installation Hardware,ZD1612,Rear; with Heavy Duty Brakes; OE Ceramic,WAGNER,brake+&+wheel+hub,brake pad,$24.79
,ford 2018 flex 3.5l+v6+turbocharged,Stop Ceramic; Hardware Included,SBC1611C,Front; w/ Heavy Duty Brakes,BENDIX,brake+&+wheel+hub,brake pad,$25.79
"{#14D1508CH, 19383270}",ford 2018 flex 3.5l+v6+turbocharged,Advantage; Ceramic; w/Hardware,14D1508CHF1,Front; Standard Brakes; Revised F1 Part Design,ACDELCO,brake+&+wheel+hub,brake pad,$26.79
,ford 2018 flex 3.5l+v6+turbocharged,Bosch Blue w/ Hardware,BE1611H,Front; w/ HD brakes,BOSCH,brake+&+wheel+hub,brake pad,$26.79
"{#BB5Z2001A, BB5Z2001B, EB5Z2001A}",ford 2018 flex 3.5l+v6+turbocharged,QuickStop; Includes Installation Hardware; Ceramic,ZD1508,Front; Except Heavy Duty Brakes; OE Ceramic,WAGNER,brake+&+wheel+hub,brake pad,$27.79
"{#BB5Z2001A, BB5Z2001B, EB5Z2001A}",ford 2018 flex 3.5l+v6+turbocharged,Service Grade; Ceramic,SGD1508C,Front; Standard Brakes,RAYBESTOS,brake+&+wheel+hub,brake pad,$28.79
,ford 2018 flex 3.5l+v6+turbocharged,Bosch Blue w/ Hardware,BE1508H,Front; Standard Brakes,BOSCH,brake+&+wheel+hub,brake pad,$29.79
"DG1Z2001D, DG1Z2001E, DG1Z2001F, FU2Z2V001D, GB5Z2001A",ford 2018 flex 3.5l+v6+turbocharged,QuickStop; Includes Installation Hardware; Ceramic,ZD1611B,Front; with Heavy Duty Brakes; OE Ceramic,WAGNER,brake+&+wheel+hub,brake pad,$30.99
{#G2MZ2V001AU},ford 2018 flex 3.5l+v6+turbocharged,Service Design,NBR1611,Front; w/ Heavy Duty Calipers,MOTORCRAFT,brake+&+wheel+hub,brake pad,$36.79
,ford 2018 flex 3.5l+v6+turbocharged,3000 Semi-Metallic,1311137700,Rear; Standard Duty Brakes; 325mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$13.78
,ford 2018 flex 3.5l+v6+turbocharged,3000 Semi-Metallic,1311161200,Rear; Heavy Duty Brakes; 352mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$14.42
,ford 2018 flex 3.5l+v6+turbocharged,3000 Ceramic,1310137700,Rear; Standard Duty Brakes; 325mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$15.02
,ford 2018 flex 3.5l+v6+turbocharged,3000 Ceramic,1310161200,Rear; Heavy Duty Brakes; 352mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$16.67
,ford 2018 flex 3.5l+v6+turbocharged,3000 Ceramic; Includes Hardware Kit,1310137701,Rear; Standard Duty Brakes; 325mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$18.53
,ford 2018 flex 3.5l+v6+turbocharged,3000 Ceramic; Includes Hardware Kit,1310161201,Rear; Heavy Duty Brakes; 352mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$20.79
,ford 2018 flex 3.5l+v6+turbocharged,3000 Ceramic,1310150800,Front; Standard Duty Brakes; 325mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$20.79
,ford 2018 flex 3.5l+v6+turbocharged,3000 Semi-Metallic,1311161100,Front; Heavy Duty Brakes; 352mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$20.79
,ford 2018 flex 3.5l+v6+turbocharged,3000 Semi-Metallic,1311150800,Front; Standard Duty Brakes; 325mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$20.79
,ford 2018 flex 3.5l+v6+turbocharged,3000 Ceramic,1310161100,Front; Heavy Duty Brakes; 352mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$22.79
,ford 2018 flex 3.5l+v6+turbocharged,3000 Ceramic; Includes Hardware Kit,1310150801,Front; Standard Duty Brakes; 325mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$27.79
,ford 2018 flex 3.5l+v6+turbocharged,5000 Advanced; Ceramic,1552137700,Rear; Standard Duty Brakes; 325mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$17.44
,ford 2018 flex 3.5l+v6+turbocharged,Copper Free Ceramic; Hardware Included,CFC1754,Rear,BENDIX,brake+&+wheel+hub,brake pad,$19.61
,ford 2018 flex 3.5l+v6+turbocharged,5000 Advanced; Ceramic,1551161200,Rear; Heavy Duty Brakes; 352mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$20.79
"8A8Z2200A, AA8Z2200A, AG1Z2200A, BT4Z2200A, DG1Z2200D, EG1Z2200B",ford 2018 flex 3.5l+v6+turbocharged,Z16 Evolution Clean Ride Ceramic,161377,Rear; 325mm Front Rotor,POWER STOP,brake+&+wheel+hub,brake pad,$21.79
"{#DG1Z2200B, DG1Z2200C}",ford 2018 flex 3.5l+v6+turbocharged,Z16 Evolution Clean Ride Ceramic,161612,Rear; 352mm Front Rotor,POWER STOP,brake+&+wheel+hub,brake pad,$21.79
{#DG1Z2200C},ford 2018 flex 3.5l+v6+turbocharged,ThermoQuiet; Semi-Metallic; Includes Installation Hardware,MX1612,Rear; with Heavy Duty Brakes; OE Semi-Metallic,WAGNER,brake+&+wheel+hub,brake pad,$22.79
"{#DG1Z2200B, DG1Z2200C}",ford 2018 flex 3.5l+v6+turbocharged,Z17 Evolution Clean Ride Ceramic with Hardware,171612,Rear; 352mm Front Rotor,POWER STOP,brake+&+wheel+hub,brake pad,$23.79
"8A8Z2200A, AA8Z2200A, AG1Z2200A, BT4Z2200A, DG1Z2200D, EG1Z2200B",ford 2018 flex 3.5l+v6+turbocharged,Z17 Evolution Clean Ride Ceramic with Hardware,171377,Rear; 325mm Front Rotor,POWER STOP,brake+&+wheel+hub,brake pad,$23.99
,ford 2018 flex 3.5l+v6+turbocharged,Scratch Fix All In One; 0.25 oz Pen,AFM,,DUPLI-COLOR,body,touch-up paint,
,ford 2018 flex 3.5l+v6+turbocharged,Semi-Metallic; w/Shims and Hardware,30016110,Front; 352mm Front Disc; Heavy Duty Brakes,CENTRIC,brake+&+wheel+hub,brake pad,$25.79
"DG1Z2001B, DG1Z2001C, DG1Z2001D, DG1Z2001E, DG1Z2001F, GB5Z2001A",ford 2018 flex 3.5l+v6+turbocharged,Element3; Metallic,PGD1611AM,Front; Heavy Duty Brakes,RAYBESTOS,brake+&+wheel+hub,brake pad,$26.79
,ford 2018 flex 3.5l+v6+turbocharged,QuietCast; Ceramic; Includes Hardware,BC1377,Rear,BOSCH,brake+&+wheel+hub,brake pad,$27.89
,ford 2018 flex 3.5l+v6+turbocharged,Semi-Metallic; w/Shims and Hardware,30015080,Front; 325mm Front Disc; Standard Brakes,CENTRIC,brake+&+wheel+hub,brake pad,$27.99
,ford 2018 flex 3.5l+v6+turbocharged,Ceramic; w/Shims and Hardware,30115080,Front; 325mm Front Disc; Standard Brakes,CENTRIC,brake+&+wheel+hub,brake pad,$28.79
"AG1Z2001E, AG1Z2001F, BB5Z2001A, BB5Z2001B, EB5Z2001A, FU2Z2V001D",ford 2018 flex 3.5l+v6+turbocharged,Z16 Evolution Clean Ride Ceramic,161508,Front; 325MM FRONT ROTOR,POWER STOP,brake+&+wheel+hub,brake pad,$28.89
,ford 2018 flex 3.5l+v6+turbocharged,Copper Free Ceramic; Hardware Included,CFC1508,Front; w/ Standard Duty Brakes,BENDIX,brake+&+wheel+hub,brake pad,$29.79
{#DG1Z2200B},ford 2018 flex 3.5l+v6+turbocharged,ThermoQuiet; Ceramic; Includes Installation Hardware,QC1612,Rear; with Heavy Duty Brakes; OE Ceramic,WAGNER,brake+&+wheel+hub,brake pad,$29.79
,ford 2018 flex 3.5l+v6+turbocharged,Copper Free Ceramic; Hardware Included,CFC1611C,Front; w/ Heavy Duty Brakes,BENDIX,brake+&+wheel+hub,brake pad,$30.79
,ford 2018 flex 3.5l+v6+turbocharged,Posi-Quiet; Ceramic; w/Shims and Hardware,10513771,"Fits,Rear; 325mm Front Disc; Standard Brakes,or,Rear; 352mm Front Disc; Heavy Duty Brakes",CENTRIC,brake+&+wheel+hub,brake pad,$30.99
,ford 2018 flex 3.5l+v6+turbocharged,Total Solution; Semi-Metallic; Includes Hardware Kit,DX1508,Front; w/o Heavy Duty Brakes,MONROE,brake+&+wheel+hub,brake pad,$31.79
"DG1Z2001A, DG1Z2001B, DG1Z2001D, DG1Z2001E, DG1Z2001F, FU2Z2V001E, GB5Z2001A",ford 2018 flex 3.5l+v6+turbocharged,Z16 Evolution Clean Ride Ceramic,161611,Front; 352mm Front Rotor,POWER STOP,brake+&+wheel+hub,brake pad,$31.99
{#19294259},ford 2018 flex 3.5l+v6+turbocharged,Professional; Ceramic; w/Hardware,17D1508CH,Front; Standard Brakes,ACDELCO,brake+&+wheel+hub,brake pad,$32.89
{#19386938},ford 2018 flex 3.5l+v6+turbocharged,Gold; Ceramic; w/Hardware,17D1508CHF1,Front; Standard Brakes; Revised F1 Part Design,ACDELCO,brake+&+wheel+hub,brake pad,$33.79
,ford 2018 flex 3.5l+v6+turbocharged,Ceramic; w/Shims and Hardware,30116110,Front; 352mm Front Disc; Heavy Duty Brakes,CENTRIC,brake+&+wheel+hub,brake pad,$33.89
"8A8Z2200A, AA8Z2200A, AG1Z2200A, BT4Z2200A, CT4Z2200A, DG1Z2200B, DG1Z2200C, DG1Z2200D, DG1Z2200E, EG1Z2200A, EG1Z2200B, EG1Z2200C, FB5Z2200A, FB5Z2200C, FG1Z2200A",ford 2018 flex 3.5l+v6+turbocharged,NAO Ceramic,P24172N,Rear; Standard Duty Brakes,BREMBO,brake+&+wheel+hub,brake pad,$34.79
"DG1Z2001A, DG1Z2001B, DG1Z2001D, DG1Z2001E, DG1Z2001F, FU2Z2V001E, GB5Z2001A",ford 2018 flex 3.5l+v6+turbocharged,Z17 Evolution Clean Ride Ceramic with Hardware,171611,Front; 352mm Front Rotor,POWER STOP,brake+&+wheel+hub,brake pad,$34.79
,ford 2018 flex 3.5l+v6+turbocharged,Total Solution; Ceramic; Includes Hardware Kit,CX1508,Front; w/o Heavy Duty Brakes,MONROE,brake+&+wheel+hub,brake pad,$34.89
"{#DG1Z2001E, DG1Z2001F, GB5Z2001A}",ford 2018 flex 3.5l+v6+turbocharged,ThermoQuiet; Includes Installation Hardware; Ceramic,QC1611B,Front; with Heavy Duty Brakes; OE Ceramic,WAGNER,brake+&+wheel+hub,brake pad,$34.89
{#19241475},ford 2018 flex 3.5l+v6+turbocharged,Gold; Ceramic; w/Hardware,17D1377CH,Rear,ACDELCO,brake+&+wheel+hub,brake pad,$35.79
,ford 2018 flex 3.5l+v6+turbocharged,QuietCast; Ceramic; Includes Hardware,BC1611,Front; w/ HD brakes,BOSCH,brake+&+wheel+hub,brake pad,$35.79
,ford 2018 flex 3.5l+v6+turbocharged,5000 Advanced; Ceramic,1551161100,Front; Heavy Duty Brakes; 352mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$35.79
,ford 2018 flex 3.5l+v6+turbocharged,5000 Advanced; Ceramic,1551150800,Front; Standard Duty Brakes; 325mm Front Rotors,DYNAMIC FRICTION,brake+&+wheel+hub,brake pad,$35.79
"AG1Z2001E, AG1Z2001F, BB5Z2001A, BB5Z2001B, EB5Z2001A, FU2Z2V001D",ford 2018 flex 3.5l+v6+turbocharged,Z17 Evolution Clean Ride Ceramic with Hardware,171508,Front; 325MM FRONT ROTOR,POWER STOP,brake+&+wheel+hub,brake pad,$36.79
"{#BB5Z2001B, EB5Z2001A}",ford 2018 flex 3.5l+v6+turbocharged,ThermoQuiet; Includes Installation Hardware; Ceramic,QC1508,Front; Except Heavy Duty Brakes; OE Ceramic,WAGNER,brake+&+wheel+hub,brake pad,$36.79
"8A8Z2200A, AA8Z2200A, AG1Z2200A, BT4Z2200A, CT4Z2200A, DG1Z2200E, EG1Z2200A, EG1Z2200B, EG1Z2200C, FB5Z2200A, FB5Z2200C, FG1Z2200A",ford 2018 flex 3.5l+v6+turbocharged,ProACT Ultra Premium Ceramic Pad,ACT1377,Rear; OE Pad Material Is Ceramic,AKEBONO,brake+&+wheel+hub,brake pad,$37.79
"8A8Z2200A, AA8Z2200A, BT4Z2200A, CT4Z2200A, DG1Z2200E, EG1Z2200A, EG1Z2200B, EG1Z2200C, FB5Z2200A",ford 2018 flex 3.5l+v6+turbocharged,ProACT Ceramic Pad w/ Stainless Hardware,ACT1377A,Rear; OE Pad Material Is Ceramic,AKEBONO,brake+&+wheel+hub,brake pad,$37.89
,ford 2018 flex 3.5l+v6+turbocharged,Posi-Quiet; Ceramic; w/Shims and Hardware,10516110,Front; 352mm Front Disc; Heavy Duty Brakes,CENTRIC,brake+&+wheel+hub,brake pad,$38.89
,ford 2018 flex 3.5l+v6+turbocharged,Posi-Quiet; Ceramic; w/Shims and Hardware,10515080,Front; 325mm Front Disc; Standard Brakes,CENTRIC,brake+&+wheel+hub,brake pad,$41.79
,ford 2018 flex 3.5l+v6+turbocharged,QuietCast; Ceramic; Includes Hardware,BC1508,Front; Standard Brakes,BOSCH,brake+&+wheel+hub,brake pad,$42.79
